Kanji	Keyword	KeywordWK	ElementsTree	Elements
頑	stubborn	Stubborn	l(beginning, page)	stubborn, beginning, two, human legs, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
凡	mediocre	Mediocre	o(wind, drop)	mediocre, drop, wind
負	defeat	Lose	t(bound up, shellfish)	defeat, bound up, shellfish, shell, clam, oyster, eye, animal legs, eight
万	ten thousand	Ten Thousand	t(ceiling, bound up)	ten thousand, one, ceiling, bound up
句	phrase	Paragraph	o(bound up, mouth)	phrase, bound up, mouth
肌	texture	Skin	l(month, wind)	texture, moon, month, flesh, part of the body, wind
旬	decameron	In Season	o(bound up, sun)	decameron, bound up, sun, day
勺	ladle		o(bound up, drop)	ladle, bound up, drop
的	bull´s eye	Target	l(white, ladle)	bull’s eye, white, dove, ladle, bound up, drop
首	neck	Neck	t(horns, ceiling, drop, eye)	neck, horns, nose, one, ceiling, drop, eye
乙	fish guts	Latter	fishguts	fishguts, fishhook
乱	riot	Riot	l(tongue, fishhook)	riot, tongue, thousand, drop, ten, needle, mouth, fishhook
直	straightaway	Fix	t(ten, o(fishhook, eye))	straightaway, ten, needle, eye, fishhook
具	tool	Tool	t(eye, one, animal legs)	tool, eye, one, animal legs, eight
真	true	Reality	t(ten, tool)	true, ten, needle, eye, tool, one, animal legs, eight
工	craft	Construction	craft	craft, artificial
左	left	Left	o(by one's side, craft)	left, by one's side, by one’s side, craft
右	right	Right	o(by one's side, mouth)	right, by one's side, by one’s side, mouth
有	possess	Have	o(by one's side, month)	possess, possession, by one's side, by one’s side, moon, month, flesh, part of the body
賄	bribe	Bribe	l(shellfish, possess)	bribe, shellfish, shell, clam, oyster, eye, animal legs, eight, possess, by one's side, by one’s side, moon, month, flesh, part of the body
貢	tribute	Tribute	t(craft, shellfish)	tribute, craft, shellfish, shell, clam, oyster, eye, animal legs, eight
項	paragraph	Paragraph	l(craft, page)	paragraph, craft, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
刀	sword	Sword	sword	sword, dagger
刃	blade	Blade	l(drop, sword)	blade, drop, sword, dagger
切	cut	Cut	l(seven, sword)	cut, seven, diced, sword, dagger
召	seduce	Call	t(sword, mouth)	seduce, sword, dagger, mouth
昭	shining	Shining	l(sun, seduce)	shining, sun, day, seduce, summon, sword, dagger, mouth
則	rule	Rule	l(shellfish, sword)	rule, shellfish, shell, clam, oyster, eye, animal legs, eight, sword, sabre, saber
副	vice-	Vice	l(t(ceiling, mouth, rice field), sword)	vice-, wealth, one, ceiling, mouth, rice field, brains, sword, sabre, saber
別	separate	Separate	l(t(mouth, bound up), sword)	separate, mouth, bound up, sword, sabre, saber
丁	street	Street	street	street, nail, spike
町	village	Town	l(rice field, street)	village, rice field, brains, street, nail, spike
可	can	Possible	o(street, mouth)	can, mouth, street, street, nail, spike
頂	place on the head	Summit	l(street, page)	place on the head, street, nail, spike, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
子	child	Child	child	child
孔	cavity	Cavity	l(child, fishhook)	cavity, child, fishhook
了	complete	Finish	complete	complete, child with arms wrapped up
女	woman	Woman	woman	woman
好	fond	Like	l(woman, child)	fond, woman, child
如	likeness	Likeness	l(woman, mouth)	likeness, woman, mouth
母	mama	Mother	mama	mama, mother, breasts
貫	pierce	Pierce	t(mama, shellfish)	pierce, mama, mother, breasts, oyster, shellfish, shell, clam, oyster, eye, animal legs, eight
兄	elder brother	Older Brother	t(mouth, human legs)	elder brother, teenager, mouth, human legs
呪	curse	Curse	l(mouth, elder brother)	curse, mouth, elder brother, teenager, mouth, human legs, mouth2
克	overcome	Overcome	t(ten, elder brother)	overcome, ten, needle, elder brother, teenager, mouth, human legs
小	little	Small	little	little, small
少	few	Few	t(little, drop)	few, little, small, drop
大	large	Big	large	large, St. Bernard
多	many	Many	t(evening, evening)	many, evening, evening2
夕	evening	Evening	evening	evening
汐	eventide		l(water, evening)	eventide, water, water droplets, water pistol, evening
外	outside	Outside	l(evening, magic wand)	outside, evening, magic wand, augury
名	name	Name	t(evening, mouth)	name, evening, mouth
石	stone	Stone	t(cliff, mouth)	stone, cliff, mouth
肖	resemblance	Resemblance	t(small, month)	resemblance, spark, candle, small, little, moon, month, flesh, part of the body
硝	nitrate		l(stone, resemblance)	nitrate, stone, rock, resemblance, spark, candle, small, little, moon, month, flesh, part of the body
砕	smash	Smash	l(stone, ninety)	smash, stone, rock, ninety, nine, baseball, ten, needle
砂	sand	Sand	l(stone, few)	sand, stone, rock, few
妬	jealous		l(woman, stone)	jealous, woman, stone, rock
削	plane	Whittle Down	l(resemblance, sword)	plane, resemblance, spark, candle, small, little, moon, month, flesh, part of the body, sword, sabre, saber
光	ray	Sunlight	t(small, human legs)	ray, small, little, human legs
太	plump	Fat	o(large, drop)	plump, large, St. Bernard, drop
器	utensil	Container	t(l(mouth, mouth), large, l(mouth, mouth))	utensil, mouth, large, St. Bernard, mouth4
臭	stinking	Stinking	t(drop, eye, large)	stinking, nose, drop, eye, large, St. Bernard
嗅	sniff		l(mouth, t(oneself, dog))	mouth, oneself, drop, eye, dog, large, St. Bernard, drop
妙	exquisite	Strange	l(woman, few)	exquisite, woman, few
省	focus	Conserve	t(few, eye)	focus, few, eye
厚	thick	Thick	o(cliff, t(sun, child))	thick, cliff, sun, day, child
奇	strange	Odd	t(large, can)	strange, large, St. Bernard, can, mouth, street, nail, spike
川	stream	River	stream	stream, flood
州	state	State	o(stream, drops)	state, stream, flood, drops
順	obey	Order	l(stream, page)	obey, stream, flood, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
水	water	Water	water	water, walking stick, stick, water droplets, droplets
氷	icicle	Ice	l(drop, water)	icicle, drop, water
永	eternity	Eternity	t(drop, water)	eternity, drop, water
泉	spring	Spring	t(white, water)	spring, white, dove, water
腺	gland		l(month, spring)	gland, moon, month, flesh, part of the body, spring, white, dove, water
原	meadow	Original	o(cliff, t(white, small))	meadow, cliff, spring, white, dove, small, little
願	petition	Request	l(meadow, page)	petition, meadow, cliff, white, dove, small, little, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
泳	swim	Swim	l(water, eternity)	swim, water, water droplets, water pistol, eternity
沼	marsh	Bog	l(water, t(sword, mouth))	marsh, water, water droplets, water pistol, summon, seduce, sword, dagger, mouth
沖	open sea	Open Sea	l(water, inX)	open sea, water, water droplets, water pistol, inX, stick, mouth
汎	pan-		l(water, mediocre)	pan-, water, water droplets, water pistol, mediocre, wind, drop
江	creek	Inlet	l(water, craft)	creek, water, water droplets, water pistol, craft
汰	cleanse	Select	l(water, plump)	cleanse, water, water droplets, water pistol, plump, large, St. Bernard, drop
汁	soup	Soup	l(water, ten)	soup, water, water droplets, water pistol, ten, needle
沙	grains of sand	Sand	l(water, few)	grains of sand, water, water droplets, water pistol, few
潮	tide	Tide	l(water, morning)	tide, water, water droplets, water pistol, morning , mist, ten, needle, early, sun, day, moon, month, flesh, part of the body, ten2, needle2
源	source	Origin	l(water, meadow)	source, water, water droplets, water pistol, meadow, cliff, sun, day, small, little
活	lively	Lively	l(water, tongue)	lively, water, water droplets, water pistol, tongue, drop, old, tombstone, gravestone, church, ten, needle, mouth
消	extinguish	Extinguish	l(water, resemblance)	extinguish, water, water droplets, water pistol, resemblance, spark, candle, small, little, moon, month, flesh, part of the body
況	but of course	Condition	l(water, elder brother)	but of course, water, water droplets, water pistol, elder brother, teenager, mouth, human legs
河	river	River	l(water, can)	river, water, water droplets, water pistol, can, street, nail, spike, mouth
泊	overnight	Overnight	l(water, white)	overnight, water, water droplets, water pistol, white, dove
湖	lake	Lake	l(water, uncivilized)	lake, water, water droplets, water pistol, uncivilized, zombie, old, tombstone, gravestone, church, ten, needle, mouth, moon, month, flesh, part of the body
測	fathom	Measure	l(water, rule)	fathom, water, water droplets, water pistol, rule, shellfish, shell, clam, oyster, eye, animal legs, eight, sword, sabre, saber
土	soil	Dirt	soil	soil, dirt, ground
吐	spit	Throw Up	l(mouth, soil)	spit, mouth, soil, dirt, ground
圧	pressure	Pressure	o(cliff, soil)	pressure, cliff, soil, dirt, ground
埼	cape	Cape		cape, soil, dirt, ground, strange, large, St. Bernard, street, nail, spike, mouth
垣	hedge	Hedge		hedge, soil, dirt, ground, span, one, ceiling, sun, day, one, floor, one
填・塡	inlay			stuff up, soil, dirt, ground, true, truth, ten, needle, eye, tool, one, animal legs, eight
圭	squared jewel			square jewel, ivy, soil, dirt, ground, soil2, dirt2, ground2
封	seal	Seal		seal, ivy, square jewel, soil, dirt, ground, glue, soil2, dirt2, ground2
涯	horizon	Horizon		horizon, water, water droplets, water pistol, cliff, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2
寺	Buddhist temple	Temple		buddhist temple, temple, soil, dirt, ground, glue
時	time	Time		time, sun, day, Buddhist temple, soil, dirt, ground, glue
均	level	Equal		level, soil, dirt, ground, ladle, drop, drop2, drops, two
火	fire	Fire		fire, person, drops, drop
炎	inflammation	Flame		inflammation, fire, fire2
煩	anxiety	Annoy		anxiety, fire, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
淡	thin	Faint		thin, water, water droplets, water pistol, inflammation, fire, fire2
灯	lamp	Lamp		lamp, fire, street, nail, spike
畑	farm	Field		farm, fire, rice field, brains
災	disaster	Disaster		disaster, stream, flood, fire
灰	ashes	Ashes		ashes, cliff, fire
点	spot	Point		spot, fortune-telling, magic wand, augury, mouth, oven-fire, drop4, barbecue
照	illuminate	Illuminate		illuminate, shining, sun, day, summon, seduce, sword, dagger, mouth, oven-fire, drop4, barbecue
魚	fish	Fish		fish, bound up, rice field, brains, oven-fire, drop4, barbecue
漁	fishing	Fishing		fishing, water, water droplets, water pistol, fish, bound up, rice field, brains, oven-fire, drop4, barbecue
里	ri	Hometown		ri, computer, village, rice field, brains, soil, dirt, ground
黒	black	Black		black, computer, ri, oven-fire, drop4, barbecue
墨	black ink	Black Ink		black ink, black, computer, oven-fire, drop4, barbecue
鯉	carp	Carp		carp, fish, bound up, rice field, brains, oven-fire, drop4, barbecue, computer
量	quantity	Quantity		quantity, nightbreak, sun, day, one, rice field, floor, computer
厘	rin			rin, cliff, computer
埋	bury	Bury		bury, soil, dirt, ground, computer
同	same	Same		same, monks, hood, one, mouth
洞	den	Cave		den, water, water droplets, water pistol, same, monks, hood, one, mouth
胴	trunk	Torso		trunk, moon, month, flesh, part of the body, same, monks, hood, one, mouth
向	yonder	Yonder		yonder, alien, drop, helmet, hood, mouth
尚	esteem	Furthermore		esteem, small, little, alien, glass canopy, hood, mouth
字	character	Letter		character, house, child
守	guard	Protect		guard, house, glue
完	perfect	Perfect		perfect, house, beginning, two, human legs
宣	proclaim	Proclaim		proclaim, house, span, one, ceiling, sun, day, one, floor, one
宵	wee hours			wee hours, house, resemblance, spark, candle, small, little, moon, month, flesh, part of the body
安	relax	Relax		relax, house, woman
宴	banquet	Banquet		banquet, relax, house, sun, day, tongue wagging, wagging tongue, woman
寄	draw near	Approach		draw near, house, strange, large, St. Bernard, can, street, nail, spike, mouth
富	wealth	Rich		wealth, house, one, ceiling, mouth, rice field, brains
貯	savings	Savings		savings, shellfish, shell, clam, oyster, eye, animal legs, eight, house, street, nail, spike
木	tree	Tree		tree, wood
林	grove	Forest		grove, tree2, tree, wood2, wood
森	forest	Forest		forest, tree, wood, tree3, wood3
桂	Japanese Judas-tree			Japanese Judas tree, tree, wood, ivy, square jewel, soil, dirt, ground, soil2, dirt2, ground2
柏	oak			oak, tree, wood, white, dove
枠	frame	Frame		frame, tree, wood, ninety, nine, baseball, ten, needle
梢	treetops			treetops, tree, wood, resemblance, spark, candle, small, little, moon, month, flesh, part of the body
棚	shelf	Shelf		shelf, tree, wood, companion, moon, month, flesh, part of the body, moon2, month2, flesh, 2, part of the body2
杏	apricot	Apricot		apricot, tree, wood, mouth
桐	paulownia			paulownia, tree, wood, same, monks, hood, one, mouth
植	plant	Plant		plant, tree, wood, straightaway, ten, needle, eye, fishhook
椅	chair	Chair		chair, tree, wood, strange, large, St. Bernard, street, nail, spike, mouth
枯	wither	Wither		wither, tree, wood, old, tombstone, gravestone, church, ten, needle, mouth
朴	crude	Simple		crude, tree, wood, magic wand, augury
村	town	Village		town, tree, wood, measure, glue
相	inter-	Mutual		inter-, tree, wood, eye
机	desk	Desk		desk, tree, wood, wind
本	book	Book		book, tree, wood, one
札	tag	Bill		tag, tree, wood, fishhook
暦	calendar	Calendar		calendar, cliff, grove, tree, wood, sun, day, tree2, wood2
案	plan	Plan		plan, relax, house, woman, tree, wood
燥	parch	Dry Up		parch, fire, furniture, wooden goods, mouth, tree, wood, mouth3
未	not yet	Not Yet		not yet, tree, wood, one
末	extremity	End		extremity, tree, wood, one
昧	obscure			obscure, sun, day, not yet, one, tree, wood
沫	splash			splash, water, water droplets, water pistol, extremity, one, tree, wood
味	flavor	Flavor		flavor, taste, mouth, not yet, one, tree, wood
妹	younger sister	Younger Sister		younger sister, woman, not yet, one, tree, wood
朱	vermilion	Vermillion		vermillion, drop, not yet, one, tree, wood
株	stocks	Stocks		stocks, tree, wood, vermillion, drop, not yet, one, tree, wood
若	young	Young		young, flowers, right, by one's side, by one’s side, mouth
草	grass	Grass		grass, flowers, sunflower, early, sun, day, ten, needle
苦	suffering	Suffering		suffering, flowers, old, tombstone, gravestone, church, ten, needle, mouth
苛	bullying	Frustration		bullying, flowers, can, mouth, street, street, nail, spike
寛	tolerant	Tolerance		tolerant, house, flowers, look, see, telescope, eye, human legs
薄	dilute	Dilute		dilute, flowers, water, water droplets, water pistol, acupuncturist, specialty, drop, ten, needle, rice field, brains, glue
葉	leaf	Leaf		leaf, flowers, Tarzan, generation, tree, wood
模	imitation	Imitation		imitation, tree, wood, graveyard, flowers, sun, day, large, St. Bernard
漠	vague	Desert		vague, water, water droplets, water pistol, graveyard, flowers, sun, day, large, St. Bernard
墓	grave	Grave		grave, graveyard, flowers, sun, day, large, St. Bernard, soil, dirt, ground
暮	livelihood	Livelihood		livelihood, graveyard, flowers, sun, day, large, St. Bernard, sun2, day2
膜	membrane	Membrane		membrane, moon, month, flesh, part of the body, graveyard, flowers, sun, day, large, St. Bernard
苗	seedling	Seedling		seedling, flowers, rice field, brains
兆	portent	Omen		portent, turtle
桃	peach tree	Peach		peach tree, tree, wood, portent, turtle
眺	stare	Stare		stare, eye, portent, turtle
犬	dog	Dog		dog, large, St. Bernard, drop
状	status quo	Condition		status quo, turtle, chihuahua, dog, large, drop
黙	silence	Shut Up		silence, black, computer, chihuahua, dog, large, drop, oven-fire, drop4, barbecue
然	sort of thing	Nature		sort of thing, moon, crescent moon, evening, month, flesh, part of the body, chihuahua, dog, large, drop, oven-fire, drop4, barbecue
荻	reed			reed, flowers, pack of wild dogs, fire
狩	hunt	Hunt		hunt, pack of wild dogs, guard, house, glue
猫	cat	Cat		cat, pack of wild dogs, seedlings, flowers, rice field, brains
牛	cow	Cow		cow
特	special	Special		special, cow, Buddhist temple, soil, dirt, ground, glue
告	revelation	Announce		revelation, cow, mouth
先	before	Previous		before, cow, human legs
洗	wash	Wash		wash, water, water droplets, water pistol, before, cow, human legs
介	jammed in	Jammed In		jammed in, umbrella, stick, walking cane
界	world	World		world, rice field, brains, jammed in, umbrella, stick, cane
茶	tea	Tea		tea, flowers, umbrella, wooden pole
脊	spinal column	Stature		spinal column, I Ching, two, Master Po, umbrella, moon, month, flesh, part of the body
合	fit	Suit		fit, meeting, umbrella, one, mouth
塔	pagoda	Tower		pagoda, soil, dirt, ground, flowers, fit, meeting, umbrella, one, mouth
王	king	King		king, jewel, ball
玉	jewel	Ball		jewel, king, ball, earring, drop
宝	treasure	Treasure		treasure, house, king, jewel, ball, earring, drop
珠	pearl	Pearl		pearl, king, jewel, ball, vermillion, drop, not yet, one, tree, wood
現	present	Present Time		present, king, jewel, ball, see, telescope, eye, human legs
玩	toy			toy, king, jewel, ball, beginning, two, human legs
狂	lunatic	Lunatic		lunatic, pack of wild dogs, king, jewel, ball
旺	effulgent			effulgent, sun, day, king, jewel, ball
皇	emperor	Emperor		emperor, white, dove, king, jewel, ball
呈	display	Present		display, mouth, king, jewel, ball
全	whole	All		whole, umbrella, king, jewel, ball
栓	plug	Cork		plug, tree, wood, whole, umbrella, king, jewel, ball
理	logic	Reason		logic, king, jewel, ball, computer
主	lord	Master		lord, drop, king, jewel, ball
注	pour	Pour		pour, water, water droplets, water pistol, candlestick, lord, drop, king, jewel, ball
柱	pillar	Pillar		pillar, tree, wood, candlestick, lord, drop, king, jewel, ball
金	gold	Gold		gold, metal, gold, umbrella, drop, king, jewel, ball, drop2
銑	pig iron			pig-iron, metal, gold, before, cow, human legs
鉢	bowl	Bowl		bowl, metal, gold, origin, book, tree, wood, one
銅	copper	Copper		copper, metal, gold, same, monks, hood, one, mouth
釣	angling	Fishing		angling, metal, gold, ladle, bound up, drop
針	needle	Needle		needle, metal, gold, ten, needle
銘	inscription	Inscription		inscription, metal, gold, name, evening, mouth
鎮	tranquillize	Tranquilize		tranquilize, metal, gold, true, truth, ten, needle, eye, tool, animal legs, eight
道	road-way	Road		road-way, neck, horns, drop, eye, road
導	guidance	Lead		guidance, road-way, neck, horns, drop, eye, road, glue
辻	crossing			crossing, cross, ten, needle, road
迅	swift	Swift		swift, fishhook, cross, ten, needle, road
造	create	Create		create, revelation, cow, mouth, road
迫	urge	Urge		urge, white, dove, road
逃	escape	Escape		escape, turtle, portent, road
辺	environs	Area		environs, dagger, sword, road
巡	patrol	Patrol		patrol, deluge, stream, flood, road
車	car	Car		car, sun, day, ten, needle
連	take along	Take Along		take along, carry along, car, road
軌	rut	Rut		rut, car, nine, baseball
輸	transport	Transport		transport, car, meeting of butchers, butchers, meeting, umbrella, one, moon, month, flesh, part of the body, sword, sabre, saber
喩・喻	metaphor			mouth, meeting, moon, flood, saber
前	in front	Front		in front, front, horns, butcher, moon, month, flesh, part of the body, sword, sabre, saber
煎	roast	Roast		roast, in front, horns, butcher, moon, month, flesh, part of the body, sword, sabre, saber, oven-fire, drop4, barbecue
各	each	Each		each, walking legs, mouth
格	status	Status		status, tree, wood, each, walking legs, mouth
賂	graft	Bribe		graft, shellfish, shell, clam, oyster, eye, animal legs, eight, each, walking legs, mouth
略	abbreviation	Abbreviation		abbreviation, rice field, brains, each, walking legs, mouth
客	guest	Guest		guest, house, each, walking legs, mouth
額	forehead	Amount		forehead, guest, house, each, walking legs, mouth, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
夏	summer	Summer		summer, one, ceiling, drop, eye, walking legs
処	dispose	Deal With		dispose, walking legs, wind
条	twig	Clause		twig, walking legs, tree, wood
落	fall	Fall		fall, flowers, water, water droplets, water pistol, each, walking legs, mouth
冗	superfluous	Superfluous		superfluous, crown, weathercock, wind
冥	Hades	Underworld		hades, crown, sun, day, six, top hat, animal legs
軍	army	Army		army, chariot, crown, vehicle, car
輝	radiance	Radiance		radiance, ray, small, little, human legs, army, chariot, crown, vehicle, car
運	carry	Carry		carry, army, chariot, crown, vehicle, car, road
冠	crown	Crown		crown, beginning, two, human legs, glue
夢	dream	Dream		dream, flowers, eye, cross-eyed, net, crown, evening
坑	pit	Pit		pit, soil, dirt, ground, whirlwind, top hat, wind
高	tall	Tall		tall, top hat, mouth, alien, hood, mouth, mouth2
享	receive	Receive		receive, tall, top hat, mouth, child, children
塾	cram school	Cram School		cram school, receive, tall, top hat, mouth, child, children, round, nine, baseball, drop, soil, dirt, ground
熟	mellow	Ripen		mellow, receive, tall, top hat, mouth, child, children, round, nine, baseball, drop, oven-fire, drop4, barbecue
亭	pavilion	Restaurant		pavilion, tall, top hat, mouth, crown, street, nail, spike
京	capital	Capital		capital, tall, top hat, mouth, small, little
涼	refreshing	Cool		refreshing, water droplets, water pistol capital, tall, top hat, mouth, small, little
景	scenery	Scene		scenery, sun, day, capital, tall, top hat, mouth, small, little
鯨	whale	Whale		whale, fish, bound up, rice field, brains, oven-fire, drop4, barbecue, capital, tall, top hat, mouth, small, little
舎	cottage	Cottage		cottage, umbrella, earthenware jar, lidded crock, soil, dirt, ground, mouth
周	circumference	Circumference		circumference, glass hood, earthenware jar, lidded crock, soil, dirt, ground, mouth
週	week	Week		week, circumference, running track, earthenware jar, lidded crock, soil, dirt, ground, mouth, road
士	gentleman	Samurai		gentleman, gentleman, samurai
吉	good luck	Good Luck		good luck, samurai, mouth
壮	robust	Robust		robust, turtle, samurai
荘	villa	Villa		villa, flowers, robust, turtle, samurai
売	sell	Sell		sell, samurai, paper punch, Miss World, crown, human legs
学	study	Study		study, schoolhouse, owl, one, animal legs, crown, child
覚	memorize	Memorize		memorize, schoolhouse, owl, one, animal legs, crown, see, telescope, eye, human legs
栄	flourish	Prosper		flourish, schoolhouse, owl, one, animal legs, crown, tree, wood
書	write	Write		write, brush, broom, tongue wagging, wagging tongue, sun, day, mouth
津	haven	Haven		haven, water, water droplets, water pistol, brush
牧	breed	Pasture		breed, cow, taskmaster
攻	aggression	Aggression		aggression, craft, taskmaster
敗	failure	Failure		failure, shellfish, shell, clam, oyster, eye, animal legs, eight, taskmaster
枚	a sheet of	Flat Objects Counter		sheet of…, tree, wood, taskmaster
故	happenstance	Circumstance		happenstance, old, tombstone, gravestone, church, ten, needle, mouth, taskmaster
敬	awe	Respect		awe, flowers, phrase, bound up, mouth, taskmaster
言	say	Say		say, words, keitai, mouth
警	admonish	Warn		admonish, awe, flowers, phrase, bound up, mouth, taskmaster, say, words, keitai, mouth, mouth2
計	plot	Measure		plot, say, words, keitai, mouth, ten, needle
詮	elucidate			elucidate, say, words, keitai, mouth, whole, umbrella, king, jewel, ball
獄	prison	Prison		prison, pack of wild dogs, say, words, keitai, mouth, chihuahua, dog, large, drop
訂	revise	Revise		revise, say, words, keitai, mouth, street, nail, spike
訃	obituary			say, words, keitai, mouth, magic wand, wand, augury
討	chastise	Chastise		chastise, say, words, keitai, mouth, glue
訓	instruction	Instruction		instruction, say, words, keitai, mouth, stream, flood
詔	imperial edict			imperial edict, say, words, keitai, mouth, summon, seduce, sword, dagger, mouth, mouth2
詰	packed	Stuffed		packed, say, words, keitai, mouth, aerosol, good luck, samurai, mouth, mouth2
話	tale	Talk		tale, say, words, keitai, mouth, tongue, thousand, mouth, mouth2
詠	recitation	Compose		recitation, say, words, keitai, mouth, eternity, drop, water
詩	poem	Poem		poem, say, words, keitai, mouth, Buddhist temple, soil, dirt, ground, glue
語	word	Language		word, say, words, keitai, mouth, I, five, mouth, mouth2
読	read	Read		read, say, words, keitai, mouth, sell, sale, samurai, paper punch, Miss World, crown, human legs
調	tune	Investigate		tune, say, words, keitai, mouth, circumference, running track, soil, dirt, ground, mouth, mouth2
談	discuss	Discuss		discuss, say, words, keitai, mouth, inflammation, fire, fire2
諾	consent	Agreement		consent, say, words, keitai, mouth, young, flowers, by one's side, by one’s side, mouth, mouth2
